"ID","used_out","used_in","month","year"
"PR17F0017",0,323,2,2018
"PR17F0011",0,324,2,2018
"PR17F0034",143,179,2,2018
"PR17F0033",3,312,2,2018
"PR17F0003",0,324,2,2018
"PR17F0002",0,316,2,2018
"PR17F0001",0,323,2,2018
"PR17M0004",0,322,2,2018
"PR17F0012",4,316,2,2018
"PR17F0005",0,324,2,2018
"PR17F0010",0,307,2,2018
"PR17F0004",52,271,2,2018
"PR17M0012",0,324,2,2018
"PR17M0009",0,265,2,2018
"PR17F0015",0,319,2,2018
"PR17M0034",0,322,2,2018
"PR17M0014",156,144,2,2018
"PR17F0009",0,322,2,2018
"PR17F0007",0,318,2,2018
"PR17F0006",0,321,2,2018
"PR17F0014",0,324,2,2018
"PR17M0015",0,288,2,2018
"PR17F0013",41,281,2,2018
"PR17M0013",29,282,2,2018
"PR17M0033",0,323,2,2018
"PR17F0036",2,317,2,2018
"PR17M0008",0,312,2,2018
"PR17M0010",3,319,2,2018
"PR17M0001",0,324,2,2018
"PR17F0024",0,324,2,2018
"PR17M0003",62,251,2,2018
"PR17F0037",8,315,2,2018
"PR17F0022",8,316,2,2018
"PR17U0004",82,241,2,2018
"PR17F0020",29,294,2,2018
"PR17F0019",0,321,2,2018
"PR17F0027",137,175,2,2018
"PR17M0011",0,324,2,2018
"PR17F0018",33,277,2,2018
"PR17U0001",67,256,2,2018
"PR17F0008",59,265,2,2018
"PR17F0026",64,248,2,2018
"PR17F0023",107,186,2,2018
"PR17M0017",0,323,2,2018
"PR17U0007",124,198,2,2018
"PR17M0021",52,272,2,2018
"PR17M0028",54,270,2,2018
"PR17F0031",121,201,2,2018
"PR17M0024",0,323,2,2018
"PR17F0035",0,323,2,2018
"PR17M0018",1,301,2,2018
"PR17M0030",71,252,2,2018
"PR17M0027",12,311,2,2018
"PR17M0025",103,220,2,2018
"PR17M0019",0,324,2,2018
"PR17M0026",0,309,2,2018
"PR17M0029",37,287,2,2018
"PR17M0032",118,204,2,2018
"PR17F0032",0,316,2,2018
"PR17M0023",0,322,2,2018
"PR17M0022",0,310,2,2018
"PR17M0016",123,188,2,2018
"PR17M0031",1,323,2,2018
"PR17M0005",0,325,2,2018
"PR17M0006",113,195,2,2018
"PR17M0007",1,322,2,2018
"PR17M0002",0,324,2,2018
"PR17F0003",196,136,4,2018
"PR17F0007",41,292,4,2018
"PR17M0024",20,318,4,2018
"PR17F0002",59,276,4,2018
"PR17F0001",63,272,4,2018
"PR17M0004",1,335,4,2018
"PR17F0012",11,326,4,2018
"PR17F0005",76,253,4,2018
"PR17F0010",16,318,4,2018
"PR17F0004",77,237,4,2018
"PR17M0012",5,343,4,2018
"PR17M0009",0,340,4,2018
"PR17F0015",0,324,4,2018
"PR17M0034",0,344,4,2018
"PR17M0014",0,334,4,2018
"PR17F0009",50,286,4,2018
"PR17F0011",35,312,4,2018
"PR17F0006",35,300,4,2018
"PR17F0014",42,293,4,2018
"PR17M0015",11,337,4,2018
"PR17F0013",164,157,4,2018
"PR17M0013",34,289,4,2018
"PR17M0033",2,332,4,2018
"PR17F0036",36,298,4,2018
"PR17M0008",0,324,4,2018
"PR17M0010",0,312,4,2018
